launch_0	[SUBJ]	couple	1.0
drive_0	[SUBJ]	car	1.0
bomb_1	[SUBJ]	taiwan	1.0
ask_0	[SUBJ]	student	1.0
provide_0	[SUBJ]	korea	1.0
hire_0	[SUBJ]	people	1.0
rape_0	[SUBJ]	boy	1.0
interview_0	[SUBJ]	sandusky	1.0
kill_6	[SUBJ]	people	1.0
slaughter_2	[SUBJ]	thousand	1.0
slaughter_0	[SUBJ]	citizen	1.0
shoot_0	[SUBJ]	people	1.0
drop_1	[SUBJ]	bomb	1.0
drop_3	[SUBJ]	bomb	1.0
bomb_0	[SUBJ]	couple	1.0
kill_0	[SUBJ]	million	1.0
join_1	[SUBJ]	military	1.0
attack_0	[SUBJ]	car	1.0
kill_1	[SUBJ]	zimmerman	1.0
buy_0	[SUBJ]	carbonite	1.0
interview_0	[SUBJ]	people	1.0
expel_0	[SUBJ]	arafat	1.0
kill_7	[SUBJ]	terrorist	1.0
abuse_0	[SUBJ]	pow	1.0
kill_0	[SUBJ]	civilian	1.0
buy_0	[SUBJ]	car	1.0
see_4	[SUBJ]	dad	1.0
attack_0	[SUBJ]	kind	1.0
declare_0	[SUBJ]	war	1.0
fire_0	[SUBJ]	people	1.0
invade_1	[SUBJ]	country	1.0
kill_3	[SUBJ]	terrorist	1.0
leave_0	[SUBJ]	place	1.0
kill_0	[SUBJ]	terrorist	1.0
kill_4	[SUBJ]	terrorist	1.0
see_1	[SUBJ]	midwife	1.0
see_4	[SUBJ]	midwife	1.0
indict_0	[SUBJ]	sandusky	1.0
marry_0	[SUBJ]	people	1.0
beat_9	[SUBJ]	fairgoer	1.0
hit_1	[SUBJ]	people	1.0
rape_0	[SUBJ]	child	1.0
overthrow_1	[SUBJ]	hussein	1.0
kill_0	[SUBJ]	soldier	1.0
kill_0	[SUBJ]	americans	1.0
see_1	[SUBJ]	mum	1.0
see_1	[SUBJ]	dad	1.0
see_1	[SUBJ]	people	1.0
lose_3	[SUBJ]	mum	1.0
kick_0	[SUBJ]	car	1.0
marry_0	[SUBJ]	gingrich	1.0
shout_2	[SUBJ]	anybody	1.0
attack_0	[SUBJ]	griffin	1.0
save_0	[SUBJ]	life	1.0
rape_0	[SUBJ]	girl	1.0
shoot_1	[SUBJ]	people	1.0
kill_1	[SUBJ]	child	1.0
kill_0	[SUBJ]	thousand	1.0
marry_0	[SUBJ]	man	1.0
meet_5	[SUBJ]	woman	1.0
shoot_0	[SUBJ]	someone	1.0
send_1	[SUBJ]	people	1.0
attack_2	[SUBJ]	iran	1.0
attack_0	[SUBJ]	people	1.0
invade_0	[SUBJ]	pakistan	1.0
develop_0	[SUBJ]	nuke	1.0
kill_1	[SUBJ]	americans	1.0
occupy_0	[SUBJ]	iraq	1.0
ask_0	[SUBJ]	people	1.0
kill_0	[SUBJ]	mother	1.0
defend_1	[SUBJ]	country	1.0
marry_0	[SUBJ]	couple	1.0
blow_3	[SUBJ]	country	1.0
buy_5	[SUBJ]	civilian	1.0
kill_7	[SUBJ]	woman	1.0
kill_1	[SUBJ]	baby	1.0
overthrow_0	[SUBJ]	dictator	1.0
burn_0	[SUBJ]	people	1.0
send_2	[SUBJ]	sandusky	1.0
rape_0	[SUBJ]	kid	1.0
promote_1	[SUBJ]	group	1.0
shoot_0	[SUBJ]	guy	1.0
kill_0	[SUBJ]	protester	1.0
invade_0	[SUBJ]	place	1.0
kill_0	[SUBJ]	opposition	1.0
send_2	[SUBJ]	kid	1.0
marry_0	[SUBJ]	dad	1.0
strike_5	[SUBJ]	iran	1.0
elect_0	[SUBJ]	someone	1.0
invade_1	[SUBJ]	iran	1.0
marry_0	[SUBJ]	mother	1.0
fund_0	[SUBJ]	government	1.0
beat_6	[SUBJ]	wife	1.0
hit_2	[SUBJ]	pentagon	1.0
strike_2	[SUBJ]	pentagon	1.0
run_7	[SUBJ]	house	1.0
lose_0	[SUBJ]	man	1.0
lose_0	[SUBJ]	president	1.0
leave_1	[SUBJ]	plane	1.0
see_4	[SUBJ]	doc	1.0
send_2	[SUBJ]	employee	1.0
kill_0	[SUBJ]	attack	1.0
fund_0	[SUBJ]	people	1.0
slaughter_0	[SUBJ]	people	1.0
execute_0	[SUBJ]	teacher	1.0
whip_0	[SUBJ]	people	1.0
ask_0	[SUBJ]	one	1.0
